show_id,type,title,director,country,date_added,release_year,duration
s250,Movie,A Very Special Love,Cathy Garcia-Molina,Philippines,"November 12, 2020",2008,107 min
s251,Movie,A Walk to Remember,Adam Shankman,United States,"July 1, 2020",2002,102 min
s252,Movie,A Wednesday,Neeraj Pandey,India,"November 1, 2018",2008,103 min
s253,Movie,A Week in Watts,Gregory Caruso,United States,"February 19, 2018",2017,91 min
s255,Movie,A Witches' Ball,Justin G. Dyck,Canada,"October 1, 2018",2017,91 min
s256,Movie,A Wrinkle in Time,Ava DuVernay,United States,"September 25, 2018",2018,110 min
s258,Movie,A Yellow Bird,K. Rajagopal,"Singapore, France","May 1, 2017",2016,111 min
s261,TV Show,A.I.C.O.,Kazuya Murata,Japan,"March 9, 2018",2018,1 Season
s263,Movie,A.X.L.,Oliver Daly,United States,"March 20, 2019",2018,99 min
s264,Movie,Aşk Tesadüfleri Sever,Ömer Faruk Sorak,Turkey,"April 4, 2018",2011,122 min
s265,Movie,Aadu 2,Midhun Manuel Thomas,India,"May 15, 2018",2017,150 min
s266,Movie,Aagey Se Right,Indrajit Nattoji,India,"November 1, 2018",2009,117 min
s267,Movie,Aajcha Divas Majha,Chandrakant Kulkarni,India,"January 1, 2018",2013,126 min
s269,Movie,Aalorukkam,V C Abhilash,India,"November 15, 2018",2018,122 min
s270,Movie,Aamir,Raj Kumar Gupta,India,"November 1, 2018",2008,95 min
s271,Movie,Aapla Manus,Satish Rajwade,India,"September 10, 2020",2018,133 min
s272,Movie,Aarakshan,Prakash Jha,India,"December 31, 2019",2011,164 min
s273,Movie,Aashayein,Nagesh Kukunoor,India,"October 22, 2017",2010,115 min
s274,Movie,Aashik Awara,Umesh Mehra,India,"June 1, 2017",1993,154 min
s275,Movie,Aata Pita,Uttung Shelar,India,"January 1, 2018",2010,133 min
s277,TV Show,Abby Hatcher,Kyran Kelly,"United States, Canada","July 1, 2020",2019,1 Season
s278,Movie,Abby Sen,Atanu Ghosh,India,"May 1, 2017",2015,127 min
s280,Movie,ABCD: Any Body Can Dance,Remo D'Souza,India,"November 1, 2018",2013,136 min
s282,Movie,Abducted in Plain Sight,Skye Borgman,United States,"January 15, 2019",2017,90 min
s283,Movie,"Abdullah, The Final Witness",Hashim Nadeem Khan,Pakistan,"January 15, 2019",2016,88 min
s284,Movie,Abhinetri,A. L. Vijay,India,"May 1, 2018",2016,131 min
s285,TV Show,Abnormal Summit,"Jung-ah Im, Seung-uk Jo",South Korea," August 4, 2017",2017,2 Seasons
s286,Movie,Abominable Christmas,Chad Van De Keere,United States,"February 18, 2016",2012,44 min
s287,Movie,About a Boy,"Chris Weitz, Paul Weitz","United Kingdom, United States, France, Germany","February 1, 2019",2002,101 min
s288,Movie,About Time,Richard Curtis,United Kingdom,"April 16, 2019",2013,123 min
s292,Movie,Abzurdah,Daniela Goggi,Argentina,"August 25, 2016",2015,90 min
s293,Movie,Acapulco La vida va,Alfonso Serrano Maturino,Mexico,"June 3, 2017",2016,89 min
s294,Movie,Accident,Cheang Pou Soi,Hong Kong,"December 1, 2018",2009,87 min
s296,Movie,Across Grace Alley,Ralph Macchio,United States,"December 1, 2016",2013,24 min
s297,Movie,Across The Line,Julien Christian Lutz,Canada,"April 1, 2019",2015,88 min
s298,Movie,Across the Universe,Julie Taymor,"United States, United Kingdom","January 1, 2019",2007,133 min
s299,Movie,Act of Valor,"Mike McCoy, Scott Waugh",United States,"June 1, 2020",2012,110 min
s300,Movie,Act of Vengeance,Mahsun Kırmızıgül,"Turkey, United States","September 29, 2018",2010,112 min
s301,Movie,Action Replayy,Vipul Amrutlal Shah,India,"May 11, 2020",2010,129 min
s302,Movie,Acts of Vengeance,Isaac Florentine,"Bulgaria, United States","January 25, 2018",2017,87 min
s303,Movie,Acts of Violence,Brett Donowho,Canada,"August 1, 2020",2018,87 min
s305,Movie,Adú,Salvador Calvo,Spain,"July 1, 2020",2020,120 min
s306,Movie,Adam Devine: Best Time of Our Lives,Jay Karas,United States,"June 18, 2019",2019,59 min
s308,Movie,ADAM SANDLER 100% FRESH,Steve Brill,United States,"October 23, 2018",2018,74 min
s309,Movie,Adam: His Song Continues,Robert Markowitz,United States,"October 1, 2011",1986,96 min
s310,Movie,Addicted to Life,Thierry Donard,France,"June 12, 2020",2014,91 min
